Bulan,BI Rate
Dec-98,38.44
Jan-99,36.43
Feb-99,37.50
Mar-99,37.84
Apr-99,35.19
May-99,28.73
Jun-99,22.05
Jul-99,15.01
Aug-99,13.12
Sep-99,13.02
Oct-99,13.13
Nov-99,13.1
Dec-99,12.51
Jan-00,11.48
Feb-00,11.13
Mar-00,11.03
Apr-00,11.00
May-00,11.08
Jun-00,11.74
Jul-00,13.53
Aug-00,13.53
Sep-00,13.62
Oct-00,13.74
Nov-00,14.15
Dec-00,14.53
Jan-01,14.74
Feb-01,14.79
Mar-01,15.58
Apr-01,16.09
May-01,16.33
Jun-01,16.65
Jul-01,17.17
Aug-01,17.67
Sep-01,17.57
Oct-01,17.58
Nov-01,17.60
Dec-01,17.62
Jan-02,16.93
Feb-02,16.86
Mar-02,16.76
Apr-02,16.61
May-02,15.51
Jun-02,15.11
Jul-02,14.93
Aug-02,14.35
Sep-02,13.22
Oct-02,13.1
Nov-02,13.06
Dec-02,12.93
Jan-03,12.69
Feb-03,12.24
Mar-03,11.4
Apr-03,11.06
May-03,10.44
Jun-03,9.53
Jul-03,9.1
Aug-03,8.91
Sep-03,8.66
Oct-03,8.48
Nov-03,8.49
Dec-03,8.31
Jan-04,7.86
Feb-04,7.70
Mar-04,7.42
Apr-04,7.33
May-04,7.32
Jun-04,7.34
Jul-04,7.36
Aug-04,7.37
Sep-04,7.39
Oct-04,7.41
Nov-04,7.41
Dec-04,7.43
Jan-05,7.42
Feb-05,7.43
Mar-05,7.44
Apr-05,7.7
May-05,7.95
Jun-05,8.25
Jul-05,8.50
Aug-05,8.75
Sep-05,10.00
Oct-05,11.00
Nov-05,12.25
Dec-05,12.75
Jan-06,12.75
Feb-06,12.75
Mar-06,12.75
Apr-06,12.75
May-06,12.50
Jun-06,12.50
Jul-06,12.25
Aug-06,11.75
Sep-06,11.25
Oct-06,10.75
Nov-06,10.25
Dec-06,9.75
Jan-07,9.5
Feb-07,9.25
Mar-07,9.00
Apr-07,9.00
May-07,8.75
Jun-07,8.50
Jul-07,8.25
Aug-07,8.25
Sep-07,8.25
Oct-07,8.25
Nov-07,8.25
Dec-07,8.00
Jan-08,8.00
Feb-08,8.00
Mar-08,8.00
Apr-08,8.00
