Tanggal;Gold
Dec-98;291,68
Jan-99;287,08
Feb-99;287,33
Mar-99;285,96
Apr-99;282,62
May-99;276,44
Jun-99;261,31
Jul-99;256,08
Aug-99;256,69
Sep-99;264,74
Oct-99;310,72
Nov-99;293,18
Dec-99;283,07
Jan-00;284,32
Feb-00;299,86
Mar-00;286,39
Apr-00;279,69
May-00;275,19
Jun-00;285,73
Jul-00;281,59
Aug-00;274,47
Sep-00;273,68
Oct-00;270
Nov-00;266,01
Dec-00;271,45
Jan-01;265,49
Feb-01;261,87
Mar-01;263,03
Apr-01;260,48
May-01;272,36
Jun-01;270,23
Jul-01;267,53
Aug-01;272,39
Sep-01;283,42
Oct-01;283,06
Nov-01;276,16
Dec-01;275,85
Jan-02;281,51
Feb-02;295,5
Mar-02;294,06
Apr-02;302,68
May-02;314,49
Jun-02;321,18
Jul-02;313,29
Aug-02;310,26
Sep-02;319,14
Oct-02;316,56
Nov-02;319,07
Dec-02;331,92
Jan-03;356,86
Feb-03;358,97
Mar-03;340,55
Apr-03;328,18
May-03;355,68
Jun-03;356,35
Jul-03;351,02
Aug-03;359,77
Sep-03;378,95
Oct-03;378,92
Nov-03;389,91
Dec-03;406,95
Jan-04;413,79
Feb-04;404,88
Mar-04;406,67
Apr-04;403,26
May-04;383,78
Jun-04;392,37
Jul-04;398,09
Aug-04;400,51
Sep-04;405,28
Oct-04;420,46
Nov-04;439,38
Dec-04;442,08
Jan-05;424,03
Feb-05;423,35
Mar-05;433,85
Apr-05;429,23
May-05;421,87
Jun-05;430,66
Jul-05;424,48
Aug-05;437,93
Sep-05;456,05
Oct-05;469,9
Nov-05;476,67
Dec-05;510,1
Jan-06;549,86
Feb-06;555
Mar-06;557,09
Apr-06;610,65
May-06;675,39
Jun-06;596,15
Jul-06;633,71
Aug-06;632,59
Sep-06;598,19
Oct-06;585,78
Nov-06;627,83
Dec-06;629,79
Jan-07;631,17
Feb-07;664,75
Mar-07;654,9
Apr-07;679,37
May-07;667,31
Jun-07;655,66
Jul-07;665,38
Aug-07;665,41
Sep-07;712,65
Oct-07;754,6
Nov-07;806,25
Dec-07;803,2
Jan-08;889,6
Feb-08;922,3
Mar-08;968,43
Apr-08;909,71
May-08;888,66
Jun-08;889,49
Jul-08;939,77
Aug-08;839,03
Sep-08;829,93
Oct-08;806,62
Nov-08;760,86
Dec-08;816,09
Jan-09;858,69
Feb-09;943
Mar-09;924,27
Apr-09;890,2
May-09;928,65
Jun-09;945,67
Jul-09;934,23
Aug-09;949,38
Sep-09;996,59
Oct-09;1043,16
Nov-09;1127,04
Dec-09;1134,72
Jan-10;1117,96
Feb-10;1095,41
Mar-10;1113,34
Apr-10;1148,69
May-10;1205,43
Jun-10;1232,92
Jul-10;1192,97
Aug-10;1215,81
Sep-10;1270,98
Oct-10;1342,02
Nov-10;1369,89
Dec-10;1390,55
Jan-11;1360,46
Feb-11;1374,68
Mar-11;1423,26
Apr-11;1480,89
May-11;1512,58
Jun-11;1529,36
Jul-11;1572,75
Aug-11;1759,01
Sep-11;1772,14
Oct-11;1666,43
Nov-11;1739
Dec-11;1639,97
Jan-12;1654,05
Feb-12;1744,82
Mar-12;1675,95
Apr-12;1649,2
May-12;1589,04
Jun-12;1598,76
Jul-12;1594,29
Aug-12;1630,31
Sep-12;1744,81
Oct-12;1746,58
Nov-12;1721,64
Dec-12;1684,76
Jan-13;1671,85
Feb-13;1627,57
Mar-13;1593,09
Apr-13;1487,86
May-13;1414,03
Jun-13;1343,35
Jul-13;1285,52
Aug-13;1351,74
Sep-13;1348,6
Oct-13;1316,58
Nov-13;1275,86
Dec-13;1221,51
Jan-14;1244,27
Feb-14;1299,58
Mar-14;1336,08
Apr-14;1298,45
May-14;1288,74
Jun-14;1279,1
Jul-14;1310,59
Aug-14;1295,13
Sep-14;1236,55
Oct-14;1222,49
Nov-14;1175,33
Dec-14;1200,62
Jan-15;1250,75
Feb-15;1227,08
Mar-15;1178,63
Apr-15;1198,93
May-15;1198,63
Jun-15;1181,5
Jul-15;1128,31
Aug-15;1117,93
Sep-15;1124,77
Oct-15;1159,25
Nov-15;1086,44
Dec-15;1075,74
Jan-16;1097,91
Feb-16;1199,5
Mar-16;1245,14
Apr-16;1242,26
May-16;1260,95
Jun-16;1276,4
Jul-16;1336,66
Aug-16;1340,17
Sep-16;1326,61
Oct-16;1266,55
Nov-16;1238,35
Dec-16;1157,36
Jan-17;1192,1
Feb-17;1234,2
Mar-17;1231,42
Apr-17;1266,88
May-17;1246,04
Jun-17;1260,26
Jul-17;1236,84
Aug-17;1283,04
Sep-17;1314,07
Oct-17;1279,51
Nov-17;1281,9
Dec-17;1264,45
Jan-18;1331,3
Feb-18;1330,73
Mar-18;1324,66
Apr-18;1334,76
May-18;1303,45
Jun-18;1281,57
Jul-18;1237,71
Aug-18;1201,71
Sep-18;1198,39
Oct-18;1215,39
Nov-18;1220,65
Dec-18;1250,4
Jan-19;1291,75
Feb-19;1320,07
Mar-19;1300,9
Apr-19;1285,91
May-19;1283,7
Jun-19;1359,04
Jul-19;1412,89
Aug-19;1500,41
Sep-19;1510,58
Oct-19;1494,81
Nov-19;1470,79
Dec-19;1479,13
Jan-20;1560,67
Feb-20;1597,1
Mar-20;1591,93
Apr-20;1683,17
May-20;1715,91
Jun-20;1732,22
Jul-20;1846,51
Aug-20;1968,63
Sep-20;1921,92
Oct-20;1900,27
Nov-20;1866,3
Dec-20;1858,42
Jan-21;1866,98
Feb-21;1808,17
Mar-21;1718,23
Apr-21;1760,04
May-21;1850,26
Jun-21;1834,57
Jul-21;1807,84
Aug-21;1785,28
Sep-21;1775,14
Oct-21;1776,85
Nov-21;1821,76
Dec-21;1790,43
Jan-22;1816,02
Feb-22;1856,3
Mar-22;1947,83
Apr-22;1936,86
May-22;1848,5
Jun-22;1836,57
Jul-22;1732,74
Aug-22;1764,56
Sep-22;1680,78
Oct-22;1664,45
Nov-22;1725,07
Dec-22;1797,55
Jan-23;1897,71
Feb-23;1854,54
Mar-23;1912,73
Apr-23;1999,77
May-23;1992,13
Jun-23;1942,9
Jul-23;1951,02
Aug-23;1918,7
Sep-23;1915,95
Oct-23;1916,25
Nov-23;1984,11
Dec-23;2026,18
Jan-24;2034,04
Feb-24;2023,24
Mar-24;2158,01
Apr-24;2331,45
May-24;2351,13
Jun-24;2326,44
Jul-24;2398,2
Aug-24;2470,15
Sep-24;2570,55
Oct-24;2690,08
Nov-24;2651,13
Dec-24;2648,01
Jan-25;2709,69
