Periode,Data Inflasi
Januari 2025,0.76 %
Desember 2024,1.57 %
November 2024,1.55 %
Oktober 2024,1.71 %
September 2024,1.84 %
Agustus 2024,2.12 %
Juli 2024,2.13 %
Juni 2024,2.51 %
Mei 2024,2.84 %
April 2024,3 %
Maret 2024,3.05 %
Februari 2024,2.75 %
Januari 2024,2.57 %
Desember 2023,2.61 %
November 2023,2.86 %
Oktober 2023,2.56 %
September 2023,2.28 %
Agustus 2023,3.27 %
Juli 2023,3.08 %
Juni 2023,3.52 %
Mei 2023,4 %
April 2023,4.33 %
Maret 2023,4.97 %
Februari 2023,5.47 %
Januari 2023,5.28 %
Desember 2022,5.51 %
November 2022,5.42 %
Oktober 2022,5.71 %
September 2022,5.95 %
Agustus 2022,4.69 %
Juli 2022,4.94 %
Juni 2022,4.35 %
Mei 2022,3.55 %
April 2022,3.47 %
Maret 2022,2.64 %
Februari 2022,2.06 %
Januari 2022,2.18 %
Desember 2021,1.87 %
November 2021,1.75 %
Oktober 2021,1.66 %
September 2021,1.6 %
Agustus 2021,1.59 %
Juli 2021,1.52 %
Juni 2021,1.33 %
Mei 2021,1.68 %
April 2021,1.42 %
Maret 2021,1.37 %
Februari 2021,1.38 %
Januari 2021,1.55 %
Desember 2020,1.68 %
November 2020,1.59 %
Oktober 2020,1.44 %
September 2020,1.42 %
Agustus 2020,1.32 %
Juli 2020,1.54 %
Juni 2020,1.96 %
Mei 2020,2.19 %
April 2020,2.67 %
Maret 2020,2.96 %
Februari 2020,2.98 %
Januari 2020,2.68 %
Desember 2019,2.72 %
November 2019,3 %
Oktober 2019,3.13 %
September 2019,3.39 %
Agustus 2019,3.49 %
Juli 2019,3.32 %
Juni 2019,3.28 %
Mei 2019,3.32 %
April 2019,2.83 %
Maret 2019,2.48 %
Februari 2019,2.57 %
Januari 2019,2.82 %
Desember 2018,3.13 %
November 2018,3.23 %
Oktober 2018,3.16 %
September 2018,2.88 %
Agustus 2018,3.2 %
Juli 2018,3.18 %
Juni 2018,3.12 %
Mei 2018,3.23 %
April 2018,3.41 %
Maret 2018,3.4 %
Februari 2018,3.18 %
Januari 2018,3.25 %
Desember 2017,3.61 %
November 2017,3.3 %
Oktober 2017,3.58 %
September 2017,3.72 %
Agustus 2017,3.82 %
Juli 2017,3.88 %
Juni 2017,4.37 %
Mei 2017,4.33 %
April 2017,4.17 %
Maret 2017,3.61 %
Februari 2017,3.83 %
Januari 2017,3.49 %
Desember 2016,3.02 %
November 2016,3.58 %
Oktober 2016,3.31 %
September 2016,3.07 %
Agustus 2016,2.79 %
Juli 2016,3.21 %
Juni 2016,3.45 %
Mei 2016,3.33 %
April 2016,3.6 %
Maret 2016,4.45 %
Februari 2016,4.42 %
Januari 2016,4.14 %
Desember 2015,3.35 %
November 2015,4.89 %
Oktober 2015,6.25 %
September 2015,6.83 %
Agustus 2015,7.18 %
Juli 2015,7.26 %
Juni 2015,7.26 %
Mei 2015,7.15 %
April 2015,6.79 %
Maret 2015,6.38 %
Februari 2015,6.29 %
Januari 2015,6.96 %
